"STATEFP","COUNTYFP","county","State_Name","Diocese","geometry"
"36","77","Otsego","New York","Albany","POLYGON ((-74.711504 42.517003, -75.416932 42.314094, -75.242745 42.877869, -74.648298 42.829558, -74.630631 42.626674, -74.711504 42.517003))"
"36","57","Montgomery","New York","Albany","POLYGON ((-74.289446 42.783805, -74.763303 42.863237, -74.759895 43.047423, -74.097467 42.982934, -74.083883 42.897354, -74.289446 42.783805))"
"36","83","Rensselaer","New York","Albany","POLYGON ((-73.352429 42.510017, -73.783721 42.464231, -73.659675 42.933364, -73.274294 42.943652, -73.352429 42.510017))"
"36","35","Fulton","New York","Albany","POLYGON ((-74.097467 42.982934, -74.759895 43.047423, -74.713005 43.289003, -74.322375 43.214684, -74.140147 43.253979, -74.097467 42.982934))"
"22","59","LaSalle","Louisiana","Alexandria","POLYGON ((-92.005624 31.927383, -92.008033 31.325809, -92.080075 31.323091, -92.384441 31.619505, -92.362629 31.806898, -92.312518 31.927656, -92.005624 31.927383))"
"22","43","Grant","Louisiana","Alexandria","POLYGON ((-92.196131 31.477877, -92.658646 31.388078, -92.683315 31.499003, -92.973529 31.708922, -92.362608 31.796633, -92.384441 31.619505, -92.196131 31.477877))"
"22","115","Vernon","Louisiana","Alexandria","POLYGON ((-92.824169 30.877234, -93.563011 30.868108, -93.578207 30.999995, -93.508141 31.030245, -93.556503 31.240317, -93.390495 31.364147, -92.879715 31.317439, -92.824169 30.877234))"
"22","107","Tensas","Louisiana","Alexandria","POLYGON ((-91.075908 32.016827, -91.254911 31.813162, -91.345714 31.842861, -91.365614 31.760763, -91.276125 31.745218, -91.577653 31.795857, -91.493574 32.203247, -91.130574 32.247024, -91.165452 32.13429, -91.030507 32.108153, -91.15701 32.074554, -91.075908 32.016827))"
"22","25","Catahoula","Louisiana","Alexandria","POLYGON ((-91.806054 31.631281, -91.804569 31.479542, -91.722142 31.442394, -91.855908 31.49601, -91.777143 31.388175, -91.861546 31.359913, -91.823671 31.277577, -91.990596 31.22521, -92.005624 31.927383, -91.861257 31.965804, -91.779829 31.871896, -91.596437 31.970401, -91.5373 31.732454, -91.683949 31.743168, -91.712166 31.633229, -91.806054 31.631281))"
"22","21","Caldwell","Louisiana","Alexandria","POLYGON ((-92.312163 32.277348, -91.993367 32.276795, -92.0081 32.191598, -91.892031 32.162112, -91.903565 31.927457, -92.312518 31.927656, -92.312163 32.277348))"
"22","65","Madison","Louisiana","Alexandria","MULTIPOLYGON (((-91.468635 32.534748, -91.070221 32.562558, -90.988505 32.490559, -91.093742 32.549127, -91.116008 32.48314, -90.969587 32.439492, -91.000106 32.357695, -90.875621 32.373526, -90.994944 32.193141, -91.136663 32.249639, -91.546803 32.206404, -91.450759 32.361272, -91.468635 32.534748)), ((-91.03131 32.120541, -91.058307 32.180951, -91.002906 32.162052, -91.03131 32.120541)))"
"22","69","Natchitoches","Louisiana","Alexandria","POLYGON ((-92.973818 31.709138, -92.718899 31.517476, -92.947159 31.346751, -93.23664 31.364001, -93.338436 31.714205, -93.441689 31.714485, -93.44057 31.91373, -93.279608 31.887005, -93.23847 31.972781, -93.121188 31.97261, -93.187138 32.148509, -92.939092 32.14792, -92.872174 31.945856, -92.973818 31.709138))"
"22","79","Rapides","Louisiana","Alexandria","POLYGON ((-92.23323 31.321545, -92.208376 30.962221, -92.38819 31.00156, -92.518976 30.893081, -92.82387 30.892071, -92.829525 31.252055, -92.98146 31.346864, -92.718899 31.517476, -92.658646 31.388078, -92.16399 31.471822, -92.07239 31.343174, -92.23323 31.321545))"
"22","127","Winn","Louisiana","Alexandria","POLYGON ((-92.939092 32.14792, -92.311937 32.146036, -92.34036 31.813482, -92.619309 31.797288, -92.62086 31.709618, -92.975215 31.710554, -92.872174 31.945856, -92.939092 32.14792))"
"22","9","Avoyelles","Louisiana","Alexandria","POLYGON ((-91.688225 31.200084, -91.815258 30.848107, -92.237794 30.84828, -92.23323 31.321545, -92.028143 31.343721, -91.990596 31.22521, -91.908924 31.296789, -91.688225 31.200084))"
"22","29","Concordia","Louisiana","Alexandria","POLYGON ((-91.518074 31.528154, -91.470983 31.376244, -91.565179 31.423447, -91.512085 31.284177, -91.654027 31.255753, -91.559907 31.054119, -91.662506 30.970362, -91.649246 31.037183, -91.723804 31.044254, -91.677302 31.188047, -91.865799 31.3083, -91.776779 31.385215, -91.857465 31.49308, -91.724119 31.438833, -91.827426 31.588771, -91.712166 31.633229, -91.686082 31.742115, -91.377992 31.747585, -91.400815 31.620465, -91.517542 31.622694, -91.407915 31.569366, -91.518074 31.528154))"
"22","41","Franklin","Louisiana","Alexandria","POLYGON ((-91.596437 31.970401, -91.781827 31.872462, -91.933229 32.066882, -91.760841 32.335355, -91.476495 32.405564, -91.557283 32.250693, -91.493574 32.203247, -91.511374 31.930025, -91.597042 31.883243, -91.596437 31.970401))"
"42","95","Northampton","Pennsylvania","Allentown","POLYGON ((-75.196803 40.60858, -75.333048 40.536767, -75.608985 40.787387, -75.120232 40.968702, -75.051448 40.864209, -75.196535 40.751631, -75.196803 40.60858))"
"42","107","Schuylkill","Pennsylvania","Allentown","POLYGON ((-76.07944 40.566098, -76.440181 40.495952, -76.701164 40.661464, -76.30717 40.801809, -76.207827 40.94974, -75.997636 40.913259, -75.757807 40.735414, -76.07944 40.566098))"
"42","25","Carbon","Pennsylvania","Allentown","POLYGON ((-75.57459 40.951323, -75.474193 40.814746, -75.757807 40.735414, -75.997636 40.913259, -75.732183 41.008124, -75.767376 41.09296, -75.667495 41.13398, -75.496096 40.987379, -75.57459 40.951323))"
"42","77","Lehigh","Pennsylvania","Allentown","POLYGON ((-75.609068 40.787523, -75.333514 40.537057, -75.484057 40.418451, -75.891473 40.67727, -75.609068 40.787523))"
"42","11","Berks","Pennsylvania","Allentown","POLYGON ((-75.529694 40.446995, -75.873375 40.137107, -76.440181 40.495952, -76.017294 40.57424, -75.891473 40.67727, -75.529694 40.446995))"
"42","13","Blair","Pennsylvania","Altoona-Johnstown","POLYGON ((-78.620383 40.327025, -78.359912 40.732592, -78.116521 40.739127, -78.22197 40.674539, -78.130081 40.48199, -78.288764 40.242107, -78.620383 40.327025))"
"42","35","Clinton","Pennsylvania","Altoona-Johnstown","POLYGON ((-77.598129 41.478576, -77.14416 41.044338, -77.508596 40.962938, -77.568401 41.066049, -77.892724 41.178259, -77.898195 41.252752, -78.005941 41.143601, -78.093381 41.216931, -77.989194 41.474822, -77.598129 41.478576))"
"42","21","Cambria","Pennsylvania","Altoona-Johnstown","POLYGON ((-78.539819 40.506293, -78.658305 40.243235, -79.056347 40.284857, -78.808862 40.721062, -78.348668 40.723443, -78.539819 40.506293))"
"42","57","Fulton","Pennsylvania","Altoona-Johnstown","POLYGON ((-78.099403 39.722099, -78.380599 39.722599, -78.134863 40.165131, -77.864489 40.061568, -78.099403 39.722099))"
"42","61","Huntingdon","Pennsylvania","Altoona-Johnstown","POLYGON ((-77.681334 40.729758, -77.913844 40.398679, -77.75212 40.378545, -77.70296 40.26387, -77.861409 40.062952, -78.236302 40.224559, -78.129498 40.485721, -78.204871 40.695874, -77.681334 40.729758))"
"42","27","Centre","Pennsylvania","Altoona-Johnstown","POLYGON ((-77.36418 40.846937, -77.94425 40.691557, -78.376993 40.752369, -78.16821 40.96082, -78.078105 40.956447, -78.112239 41.114217, -77.898195 41.252752, -77.892724 41.178259, -77.568401 41.066049, -77.508596 40.962938, -77.14416 41.044338, -77.36418 40.846937))"
"42","111","Somerset","Pennsylvania","Altoona-Johnstown","POLYGON ((-78.808387 39.722911, -79.392459 39.721578, -79.351257 39.786577, -79.417558 39.853776, -79.056053 40.284861, -78.658305 40.243235, -78.808387 39.722911))"
"42","9","Bedford","Pennsylvania","Altoona-Johnstown","POLYGON ((-78.380599 39.722599, -78.808387 39.722911, -78.763206 40.057005, -78.620383 40.327025, -78.447895 40.244395, -78.434288 40.302301, -78.288764 40.242107, -78.257305 40.297883, -78.134718 40.165335, -78.380599 39.722599))"
"48","359","Oldham","Texas","Amarillo","POLYGON ((-102.167471 35.183233, -103.042511 35.183157, -103.041706 35.622488, -102.162809 35.627515, -102.167471 35.183233))"
"48","211","Hemphill","Texas","Amarillo","POLYGON ((-100.540221 36.056491, -100.000399 36.055677, -100.000392 35.619115, -100.540158 35.619296, -100.540221 36.056491))"
"48","191","Hall","Texas","Amarillo","POLYGON ((-100.417783 34.313524, -100.946132 34.312759, -100.944939 34.748281, -100.415895 34.747525, -100.417783 34.313524))"
"48","437","Swisher","Texas","Amarillo","POLYGON ((-101.471562 34.747462, -101.47158 34.31229, -101.99802 34.313039, -101.998493 34.74819, -101.471562 34.747462))"
"48","393","Roberts","Texas","Amarillo","POLYGON ((-101.085935 35.619102, -101.085716 36.057572, -100.540221 36.056491, -100.540158 35.619296, -101.085935 35.619102))"
"48","11","Armstrong","Texas","Amarillo","POLYGON ((-101.086281 35.18214, -101.090749 34.748246, -101.629257 34.747649, -101.622941 35.183117, -101.086281 35.18214))"
"48","117","Deaf Smith","Texas","Amarillo","POLYGON ((-103.042511 35.183157, -102.167471 35.183233, -102.168838 34.746612, -103.042982 34.747361, -103.042511 35.183157))"
"48","375","Potter","Texas","Amarillo","POLYGON ((-101.6228 35.620196, -101.622941 35.183117, -102.167471 35.183233, -102.162752 35.620035, -101.6228 35.620196))"
"48","69","Castro","Texas","Amarillo","POLYGON ((-101.998493 34.74819, -101.99802 34.313039, -102.525631 34.313034, -102.525184 34.746931, -101.998493 34.74819))"
"48","111","Dallam","Texas","Amarillo","POLYGON ((-103.041713 36.500439, -102.162463 36.500326, -102.163015 36.055249, -103.041062 36.055226, -103.041713 36.500439))"
"48","341","Moore","Texas","Amarillo","POLYGON ((-101.623466 36.055405, -101.6228 35.620196, -102.162752 35.620035, -102.163015 36.055249, -101.623466 36.055405))"
"48","129","Donley","Texas","Amarillo","POLYGON ((-100.538978 35.183144, -100.540703 34.747723, -101.090749 34.748246, -101.086281 35.18214, -100.538978 35.183144))"
"48","65","Carson","Texas","Amarillo","POLYGON ((-101.622831 35.624057, -101.086068 35.625267, -101.086281 35.18214, -101.622941 35.183117, -101.622831 35.624057))"
"48","483","Wheeler","Texas","Amarillo","POLYGON ((-100.000392 35.619115, -100.000385 35.182702, -100.538978 35.183144, -100.540158 35.619296, -100.000392 35.619115))"
"48","421","Sherman","Texas","Amarillo","POLYGON ((-101.623466 36.055405, -102.163015 36.055249, -102.162463 36.500326, -101.623915 36.499528, -101.623466 36.055405))"
"48","369","Parmer","Texas","Amarillo","POLYGON ((-102.525184 34.746931, -102.525631 34.313034, -103.043762 34.31275, -103.042982 34.747361, -102.525184 34.746931))"
"48","75","Childress","Texas","Amarillo","POLYGON ((-100.000403 34.746405, -99.99772 34.311829, -100.417783 34.313524, -100.415895 34.747525, -100.000403 34.746405))"
"48","295","Lipscomb","Texas","Amarillo","POLYGON ((-100.000406 36.499702, -100.000399 36.055677, -100.546724 36.056536, -100.546145 36.499343, -100.000406 36.499702))"
"48","87","Collingsworth","Texas","Amarillo","POLYGON ((-100.000385 35.182702, -100.000381 34.746358, -100.540703 34.747723, -100.538978 35.183144, -100.000385 35.182702))"
"48","179","Gray","Texas","Amarillo","POLYGON ((-100.538978 35.183144, -101.086281 35.18214, -101.085935 35.619102, -100.540158 35.619296, -100.538978 35.183144))"
"48","195","Hansford","Texas","Amarillo","POLYGON ((-101.085156 36.499244, -101.085735 36.055276, -101.623466 36.055405, -101.623915 36.499528, -101.085156 36.499244))"
"48","357","Ochiltree","Texas","Amarillo","POLYGON ((-101.085156 36.499244, -100.546145 36.499343, -100.546724 36.056536, -101.085716 36.057572, -101.085156 36.499244))"
"48","45","Briscoe","Texas","Amarillo","POLYGON ((-100.946132 34.312759, -101.47158 34.31229, -101.471562 34.747462, -100.944939 34.748281, -100.946132 34.312759))"
"48","205","Hartley","Texas","Amarillo","POLYGON ((-103.041062 36.055226, -102.163015 36.055249, -102.162809 35.627515, -103.041706 35.622488, -103.041062 36.055226))"
"48","233","Hutchinson","Texas","Amarillo","POLYGON ((-101.085735 36.055276, -101.086068 35.625267, -101.622831 35.624057, -101.623466 36.055405, -101.085735 36.055276))"
"48","381","Randall","Texas","Amarillo","POLYGON ((-101.622941 35.183117, -101.629257 34.747649, -102.168839 34.747417, -102.167471 35.183233, -101.622941 35.183117))"
"2","198","Prince of Wales-Hyder","Alaska","Anchorage-Juneau","MULTIPOLYGON (((-131.336983 54.995534, -131.816246 54.967993, -131.762339 54.68684, -133.648903 54.632045, -133.790528 55.000581, -133.611481 55.176459, -133.775623 55.282245, -133.771598 55.394323, -133.907153 55.434003, -133.798246 55.633231, -133.887681 55.683639, -133.837978 55.793297, -133.995884 55.795201, -134.026978 55.892, -134.192027 55.693053, -134.645128 55.865217, -134.490288 55.992675, -134.666382 56.145021, -134.666668 56.283334, -134.429247 56.282737, -134.569289 56.863052, -134.028328 57.164813, -133.658222 57.162493, -133.324999 57.063611, -133.252874 56.932079, -133.501473 56.881188, -133.490424 56.753281, -133.579464 56.757375, -133.445792 56.705627, -133.512298 56.68525, -133.426612 56.617832, -133.417461 56.394606, -133.124479 56.334333, -133.007727 56.134873, -132.355864 55.795781, -132.199749 55.633834, -132.275698 55.633794, -132.225979 55.565812, -132.016203 55.436428, -131.855003 55.088615, -131.690291 55.109379, -131.59076 55.292877, -131.239554 55.169683, -131.336983 54.995534)), ((-130.388606 55.943179, -130.218768 55.999971, -130.261792 56.094208, -130.103798 56.122798, -130.003485 56.008075, -130.003785 55.907442, -130.151577 55.767428, -130.388606 55.943179)))"
"2","164","Lake and Peninsula","Alaska","Anchorage-Juneau","POLYGON ((-159.900149 56.494239, -159.588036 56.494245, -159.588041 56.580961, -159.275928 56.580967, -159.275932 56.667682, -158.893607 56.754404, -158.893482 56.999841, -158 58.616667, -156.313889 58.616666, -156.313889 58.885833, -157.196292 58.846249, -157.275233 59.259482, -157.106808 59.259483, -157.106814 59.346162, -156.769965 59.346166, -156.769971 59.432843, -156.675483 59.432844, -156.675489 59.519521, -156.505345 59.519523, -156.505349 59.606199, -156.165066 59.606202, -156.165068 59.692877, -156.000145 59.692879, -156.000086 60.90619, -153.440884 60.906236, -153.397276 60.472948, -153.528441 60.472939, -153.528392 60.126281, -153.65698 60.126277, -153.656977 59.779607, -153.953198 59.692918, -153.953181 59.519569, -154.123327 59.519552, -154.123321 59.432887, -154.412028 59.432882, -154.412013 59.259524, -154.748861 59.259518, -154.695036 58.739431, -154.642545 58.652747, -154.312354 58.652751, -154.312355 58.464929, -154.591283 58.33489, -155.354766 58.190388, -155.29991 58.103695, -155.352115 57.885934, -155.703033 57.813681, -155.777955 57.683633, -155.911439 57.683628, -155.83164 57.611408, -155.938152 57.568027, -156.365729 57.539119, -156.751389 57.250097, -156.751385 57.177841, -156.328766 57.177849, -156.328611 56.75, -158 55.639444, -159.561451 55.638443, -159.56136 55.887197, -159.867971 55.887193, -159.806389 56.320805, -159.900133 56.320803, -159.900149 56.494239))"
"2","13","Aleutians East","Alaska","Anchorage-Juneau","MULTIPOLYGON (((-166.225647 54.041993, -166.140833 54.046933, -166.20243 54.119824, -166.137536 54.214253, -165.769002 54.239179, -165.65555 54.347051, -165.431334 54.340687, -165.232074 54.21652, -165.320971 54.144534, -164.805369 54.282392, -164.680643 54.232174, -164.898199 54.03551, -165.269632 53.980731, -165.563239 53.967282, -165.667775 54.037436, -165.96301 53.916217, -166.225641 53.960206, -166.225647 54.041993)), ((-163.270887 55.431718, -163.173878 55.532122, -163.027938 55.42083, -163.153941 55.343123, -163.270887 55.431718)), ((-162.81901 54.811158, -162.725169 54.857394, -162.637181 54.804793, -162.740178 54.753102, -162.81901 54.811158)), ((-165.036163 54.576598, -164.78278 54.691702, -164.521182 54.969124, -164.297882 54.95264, -163.141331 55.231961, -161.858251 55.932504, -161.211108 56.06741, -160.584043 56.079386, -160.439433 56.298814, -160.225416 56.4336, -158.893585 56.945059, -158.893607 56.754404, -159.051094 56.754401, -159.051089 56.667687, -159.588041 56.580961, -159.588036 56.494245, -159.900149 56.494239, -159.900133 56.320803, -159.806389 56.320805, -159.867971 55.887193, -159.56136 55.887197, -159.561451 55.638443, -159.446868 55.638531, -159.538153 55.532006, -159.951138 55.507583, -160.055282 55.399478, -159.804214 55.323975, -159.737892 55.222287, -159.415307 55.315381, -159.410886 55.123496, -159.233423 55.098642, -159.25014 54.9981, -159.113256 54.93033, -159.226601 54.820679, -159.724503 55.017793, -159.816042 54.909532, -159.952976 54.929384, -160.258106 54.806889, -160.343393 54.930881, -160.244364 55.022575, -160.285318 55.124556, -160.130092 55.238675, -160.203577 55.335775, -160.519469 55.025123, -160.607676 55.098361, -160.899676 55.09535, -160.907905 55.420374, -161.239516 55.298458, -161.012925 55.262995, -161.248508 55.193258, -161.272255 55.100089, -161.417726 55.066821, -161.384881 54.973964, -161.672281 54.959246, -161.717277 54.895744, -161.576738 54.81421, -161.590314 54.749847, -162.056572 54.704532, -162.048021 54.631914, -162.240473 54.640528, -162.365035 54.507693, -162.479815 54.540932, -162.459877 54.666524, -162.554931 54.749344, -162.483085 54.792724, -162.59998 54.826812, -162.578894 54.908523, -162.642997 54.933322, -163.137298 54.829815, -162.968606 54.708702, -163.025633 54.611155, -164.122671 54.556119, -164.414987 54.368823, -164.871297 54.364045, -165.036163 54.576598)), ((-161.194534 55.159004, -161.109062 55.208002, -161.005419 55.163466, -161.095663 55.103455, -161.194534 55.159004)), ((-159.910335 54.814168, -159.729289 54.894163, -159.416439 54.782003, -159.547872 54.699296, -159.910335 54.814168)), ((-163.013694 54.385087, -162.860626 54.554311, -162.354352 54.456691, -162.238381 54.369921, -162.700084 54.237969, -163.013694 54.385087)))"
"2","66","Copper River","Alaska","Anchorage-Juneau","POLYGON ((-147.7443 61.426276, -146.942559 61.470675, -146.979807 62.250497, -146.423984 62.250511, -146.488116 63.172071, -145.154395 63.217781, -145.154385 63.131149, -143.132337 63.116978, -143.098876 63.007891, -142.996232 62.981365, -143.20757 62.829091, -143.008932 62.766691, -143.151328 62.630813, -142.83156 62.600349, -142.719523 62.713508, -142.313564 62.683828, -142.313555 62.597193, -141.977353 62.510559, -142.014987 62.117646, -141.831812 62.117178, -141.831804 61.904053, -141.002267 61.904047, -141.001857 60.391688, -141.790601 60.435238, -141.790619 60.521899, -141.96307 60.521896, -141.962708 60.607663, -142.861903 60.595364, -142.871632 60.789039, -143.408148 60.760657, -143.408004 60.850591, -143.713172 60.850425, -143.716113 61.037795, -144.427022 61.037572, -144.416125 61.212009, -146.204144 61.210746, -146.206076 61.298075, -147.744199 61.339962, -147.7443 61.426276))"
"2","282","Yakutat","Alaska","Anchorage-Juneau","POLYGON ((-143.89521 59.942647, -143.893325 60.024166, -143.193519 60.521828, -141.790619 60.521899, -141.790601 60.435238, -141.213451 60.435268, -141.001955 60.391688, -141.00198 60.306369, -140.520425 60.219819, -140.458206 60.308085, -139.981094 60.181966, -139.692981 60.335224, -139.074819 60.352505, -139.198846 60.088296, -138.707378 59.906325, -138.626202 59.76858, -137.607356 59.243803, -137.5 58.985395, -137.52522 58.90908, -138.02161 58.790023, -138.021467 58.861449, -138.278948 59.00045, -140.425097 59.65703, -140.912873 59.698455, -142.00184 59.974604, -142.826045 60.051102, -143.89521 59.942647))"
"2","122","Kenai Peninsula","Alaska","Anchorage-Juneau","POLYGON ((-149.6213 59.527516, -151.444173 59.099687, -153.02118 59.002452, -153.253613 58.855036, -153.639403 58.855029, -153.639027 58.73945, -153.817076 58.739446, -153.817076 58.65276, -154.642545 58.652747, -154.695105 59.086159, -154.748834 59.086159, -154.748861 59.259518, -154.412013 59.259524, -154.412028 59.432882, -154.123321 59.432887, -154.123327 59.519552, -153.953181 59.519569, -153.953198 59.692918, -153.656977 59.779607, -153.65698 60.126277, -153.528392 60.126281, -153.528441 60.472939, -153.397276 60.472948, -153.485575 61.426153, -151.332784 61.426239, -151.332802 61.252936, -150.974014 61.25294, -150.974017 61.166287, -150.779067 61.079639, -150.435826 61.166293, -149.063742 60.87742, -149.037741 60.732987, -148.657119 60.732976, -148.66447 60.415183, -148.563715 60.415172, -148.58618 59.938585, -149.269625 59.84542, -149.6213 59.527516))"
"2","60","Bristol Bay","Alaska","Anchorage-Juneau","POLYGON ((-157.999959 58.642168, -157.045496 58.885833, -156.313889 58.885833, -156.313889 58.616666, -157.999959 58.642168))"
"2","63","Chugach","Alaska","Anchorage-Juneau","MULTIPOLYGON (((-146.50828 59.390727, -146.358492 59.586056, -146.145446 59.435233, -146.361912 59.335485, -146.50828 59.390727)), ((-148.948762 59.892718, -148.58618 59.938585, -148.563715 60.415172, -148.66447 60.415183, -148.657119 60.732976, -148.745618 60.733007, -148.745865 60.819664, -148.472065 60.84852, -148.462471 61.426267, -147.7443 61.426276, -147.744199 61.339962, -147.204177 61.297, -146.206076 61.298075, -146.204144 61.210746, -144.416125 61.212009, -144.427022 61.037572, -143.716113 61.037795, -143.713172 60.850425, -143.408004 60.850591, -143.408148 60.760657, -142.871632 60.789039, -142.861903 60.595364, -141.962708 60.607663, -141.96307 60.521896, -143.193519 60.521828, -143.893325 60.024166, -143.89521 59.942647, -144.144078 59.919452, -144.542182 59.719321, -144.778103 59.778563, -144.539684 60.010149, -144.607277 60.078347, -145.824323 60.315117, -147.10194 60.081337, -147.334827 59.833874, -147.68724 59.74168, -147.956439 59.744131, -148.218506 59.87564, -148.948762 59.892718)))"
"2","220","Sitka","Alaska","Anchorage-Juneau","POLYGON ((-136.454427 57.830676, -136.024328 57.838795, -135.901964 58.001343, -135.238129 57.761711, -134.8362 57.7877, -134.701141 57.454613, -134.6772 56.999, -134.527589 56.797112, -134.429247 56.282737, -134.666668 56.283334, -134.666396 56.147586, -134.815063 56.215859, -135.8599 56.9924, -136.454427 57.830676))"
"2","100","Haines","Alaska","Anchorage-Juneau","POLYGON ((-136.495757 59.275132, -136.477156 59.465824, -136.238504 59.524326, -136.353936 59.599827, -135.717307 59.730043, -135.37502 59.350033, -135.032603 59.349994, -134.700716 59.249011, -134.321446 58.963629, -135.219128 58.974972, -135.000432 58.118064, -135.25002 58.1667, -135.449687 58.317073, -135.50702 58.499604, -135.316732 58.504393, -135.405223 58.620593, -135.747111 58.724895, -135.683487 58.853598, -135.524117 58.887696, -135.605493 58.903989, -135.566059 58.962806, -135.695634 59.02152, -135.698656 59.107267, -136.495757 59.275132), (-135.870668 59.402581, -135.911534 59.398352, -135.855631 59.385612, -135.870668 59.402581))"
"2","130","Ketchikan Gateway","Alaska","Anchorage-Juneau","POLYGON ((-132.275698 55.633794, -131.962744 55.700757, -131.935635 55.798431, -132.007693 55.869737, -131.829365 56.056465, -131.651202 56.103895, -131.371856 56.013252, -131.435008 56.141813, -131.007739 56.259207, -131.087349 56.406005, -130.781981 56.366844, -130.246767 56.096581, -130.292018 56.056199, -130.218768 55.999971, -130.388344 55.942098, -130.151577 55.767428, -129.974167 55.281919, -130.344537 54.918813, -130.659038 54.763058, -130.64791 54.648906, -131.762339 54.68684, -131.816246 54.967993, -131.336983 54.995534, -131.239554 55.169683, -131.59076 55.292877, -131.690291 55.109379, -131.855003 55.088615, -132.037006 55.465246, -132.275698 55.633794))"
"2","170","Matanuska-Susitna","Alaska","Anchorage-Juneau","POLYGON ((-153.001881 62.725831, -151.893784 62.725864, -151.894015 62.798058, -149.49234 63.333218, -148.025618 63.333233, -148.025627 63.477609, -146.494333 63.477639, -146.423984 62.250511, -146.979807 62.250497, -146.942559 61.470675, -149.180062 61.42625, -149.35944 61.484025, -149.748369 61.397371, -149.987495 61.224064, -150.779067 61.079639, -150.974017 61.166287, -150.974014 61.25294, -151.332802 61.252936, -151.332784 61.426239, -153.001736 61.426172, -153.001881 62.725831))"
"2","230","Skagway","Alaska","Anchorage-Juneau","POLYGON ((-135.717307 59.730043, -135.479161 59.798041, -135.233668 59.696143, -135.028903 59.563659, -135.10102 59.427531, -134.989745 59.387129, -135.37502 59.350033, -135.717307 59.730043))"
